,Group,value
A11-28F,G93m1,2.478397
A12-28F,G93m1,2.16211
A13-28F,G93m1,1.706873
A14-28F,G93m1,2.084189
A15-28F,G93m1,2.659529
A16-28F,G93m1,1.97092
A21-28F,WTm1,1.957168
A22-28F,WTm1,1.850072
A23-28F,WTm1,2.629681
A24-28F,WTm1,1.7684
A25-28F,WTm1,2.121685
A26-28F,WTm1,1.960274
C11-28F,G93m4,2.233609
C12-28F,G93m4,2.270631
C13-28F,G93m4,1.993434
C21-28F,WTm4,1.853407
C22-28F,WTm4,2.242726
C23-28F,WTm4,2.194849
