	EA05	EA08	EA07	EA04	EA18	EA26	EA12	EA34	EA13	EA25	EA20	EA21	EA22	EA27	EA33	EA15	EA80	FA59	FA61	EA70	EA84	FA77	EA69	FA50	EA82	EA74	FA46a	FA62	FA57	EA73	BE09	BE01	BE03	BE10	BE06	BE35	BE28	BE31	BE29	BE23	BE16	BE30	BE32	BE37	BE38	BE39	BE41	BE60	BE81	BE53	BE51	BE68	BE77	BE66	BE69	BE72	BE45b	BE54	BE79	BE76	BE83	BE56	BE48	BE63	BE58	BE71	TO05	TO03	TO07	TO04	TO06	TO17	TO31	TO24	TO25	TO20	CA11	CA09	CA05	CA08	CA03	CA07	CA02	CA10	CA06	CA18	CA19	CA35	CA17	CA26	CA28	CA31	CA12	CA43	CA29	CA34	CA13	CA23	CA24	CA25	CA14	CA16	CA20	CA21	CA30	CA32	CA22	CA42	CA37	CA27	CA36	CA38	CA39	CA33	CA41	CA15	CA80	CA60	CA81	CA59	CA49	CA68	CA84	CA86	CA77	CA65	CA66	CA69	CA85	CA52	CA72	CA50	CA45a	CA45b	CA54	CA82	CA67	CA83	CA46a	CA63	CA55	FA11	FA08	FA07	FA02	FA18	FA19	FA26	FA12	FA43	FA13	FA25	FA14	FA22	FA42	FA36	FA33	FA40	FA80	EA59	EA49	FA70	FA84	EA77	EA52	EA72	EA45a	FA82	FA78	FA74	EA46a	EA46b	EA62	EA55	EA47	FA73	MO09	MO05	MO03	MO10	MO04	MO06	MO35	MO17	MO29	MO34	MO23	MO14	MO16	MO42	MO40	MO73	MO71	NO11	NO09	NO01	NO03	NO10	NO42	NO37	NO27	NO36	NO38	NO39	NO33	NO40	NO41	NO15	NO80
ASV6	0	0	1305	0	0	49	6529	0	13	0	94	144	374	0	0	59	186	965	0	242	540	0	0	0	0	44	10467	0	25	137	0	7	147	9068	0	20153	157	103	22	0	55	0	13	240	0	74	6084	0	40	13	52	242	61	0	12	122	134	8107	151	0	0	0	0	0	0	49	163	0	26	1201	0	38	125	0	0	0	0	0	0	58	237	0	127	0	0	0	0	96	0	0	0	0	0	82	136	0	73	0	194	28	0	0	0	0	14	14	43	0	0	0	0	0	8	1596	88	0	0	0	358	0	0	0	449	0	620	109	0	272	134	149	1924	0	1816	12	171	0	1364	0	46	1947	203	70	111	132	8	1963	22	51	244	0	44	143	14	18	0	11	8	0	0	558	0	19	751	0	0	0	31	601	39	30	0	5	17	51	0	0	12752	80	0	0	26	446	17	0	17	32	10	19	0	12559	773	0	0	0	0	0	0	0	216	756	117	171	256	0	1846	26	0	22269	0
ASV16	0	0	0	0	0	0	0	15063	93	0	0	0	0	0	0	139	18	0	133	77	0	0	0	0	0	25	0	0	289	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	533	0	0	0	0	0	152	12	0	350	0	0	0	0	0	54	0	0	0	0	0	0	1214	73	29	0	0	0	0	0	0	3284	0	0	0	1636	552	11607	3704	0	708	0	32	0	0	319	295	78	5303	0	60	0	239	0	0	13	379	484	0	0	0	2889	0	228	0	499	262	0	0	0	0	0	0	256	80	35	65	0	359	0	106	0	1284	0	3515	68	0	0	0	0	259	40	0	0	884	0	690	0	0	53	0	27	3015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	454	0	17	2056	0	0	0	0	0	0	0	0	0	0	1953	0	0	606	0	0	32	30	0	0	0	0	0	103	45	0	0	0	0	0	0
ASV49	0	17	0	0	0	0	0	0	0	0	107	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	12	0	0	0	0	0	0	0	373	0	0	9018	0	0	0	0	0	0	0	0	0	588	0	0	0	0	0	0	0	0	0	0	0	0	1535	583	0	145	0	0	0	0	0	0	0	0	0	1873	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	852	420	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	1383	23	10	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	104	0	0	481	0	0	1612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	275	0	45	40	0	0	0	0	0	0	0	0	2172	0	0	13	0	0	0	0	19	15	0	0	0	8869	18	0	0	0	0	11	18	0	320	0	0	0	0	0	823	18	0	0	0	0	0	0	0	46	0	10	0	0	4848	0	0	42	20	0	0	0	0	0	95	7009	2360	0	0	5978	2549	2236	0	0	10667	0	0	0	0	0	224	0	24	12	0	0	130	212	0	0	88	0	3	0	0	7060	0	160	0	4815	0	0	78	0	0	0	0	0	172	0	0	0	0	0	0	0	194	0	0	70	0	0	0	0	2611	335	0	0	8286	0	0	0	0	0	0	35	5850	0	0	0	0	8	0	0	162	0	0	84	0	0	0	0	0	0	0	4471	26	0	2098	0	0	0	0	0	0	0	0	0	0	14391	0	0	0	0	0	0	0	9	30	169	0	0	0	0	0	34	0	0	0	0	0	0	0
ASV27	0	0	0	0	0	0	0	1644	0	0	0	0	0	0	0	47	0	0	0	50	0	0	0	0	0	0	0	33	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	13	0	0	0	0	0	672	0	0	0	0	0	17	0	0	242	0	0	0	788	817	7008	2331	47	0	0	0	0	8	312	3822	0	1765	0	0	0	0	0	0	0	0	1722	0	45	0	21	0	0	0	178	0	0	0	0	0	0	0	405	0	29	0	0	0	0	415	0	208	0	1209	283	195	0	32	0	0	75	0	5	26	0	917	0	0	29	0	0	473	0	0	0	0	0	5	0	0	0	0	0	0	0	15	0	43	0	0	0	0	0	380	0	8	2890	0	0	5	0	0	1477	0	0	0	0	5116	0	0	553	0	0	48	0	0	0	0	0	0	47	78	0	0	0	0	0	0
ASV10	12	16	1933	0	0	10	0	44	280	0	284	41	13	0	0	88	102	0	0	631	0	0	0	0	0	18	0	122	27	28	0	49	383	6	0	0	61	64	138	0	0	0	48	0	0	0	7	19	219	335	906	1072	14	0	63	0	62	52	21	38	43	3	14587	0	35	0	23	0	9	10	7	0	287	232	59	14	0	2535	21	34	51	1250	0	0	0	4	0	5	633	288	0	0	203	95	104	781	64	0	159	0	0	6	6	8	10	0	6	11	0	7	0	7831	7	133	72	75	665	13	35	0	0	0	41	300	288	276	764	41	1116	447	420	0	1795	190	54	0	58	8	0	0	0	46	18	9	36	0	20	10	27	22	6	0	135	6	43	370	47	0	0	0	5	29	122	18	12	0	11	10	86	0	9	0	0	13	287	3	26	744	135	12	5	4	7	0	9	12	0	6	0	0	0	3	0	137	150	0	0	29	17	0	43	625	205	0	0	27	72	16	65
ASV20	0	26	692	0	0	0	0	29	33	0	0	0	0	0	0	46	67	0	0	79	0	0	0	0	0	9	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	2007	479	12	0	0	0	16	35	9	293	0	0	10129	0	4	0	0	0	0	0	0	0	123	169	0	0	0	413	0	0	0	3033	0	0	0	0	23	10852	3041	0	801	0	0	23	0	308	42	146	20	0	0	0	103	0	0	0	0	0	0	20	0	3423	4	100	0	146	470	9	0	0	0	0	0	0	0	75	317	37	323	112	0	18	873	0	0	0	0	0	11	0	193	11	0	0	268	0	0	0	12	0	0	21	1929	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	545	0	0	437	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	22	0	15	0	0	0	0	0	76	68	0	0	7	0	0	0
ASV25	0	22	0	0	0	140	0	0	44	0	169	246	15	0	0	8	0	0	0	497	0	82	0	9	0	0	2	378	22	210	0	196	926	0	0	0	75	129	31	16	0	106	660	0	10	0	11	22	137	19	24	0	0	0	0	0	42	141	0	0	0	0	14	264	11	875	0	7	0	0	25	0	42	0	21	0	6	0	0	25	0	48	0	0	11	0	0	0	0	0	0	0	104	12	0	781	0	27	74	57	0	135	13	0	0	31	0	0	0	0	8	0	0	104	0	0	0	16	0	0	0	0	0	663	0	47	148	0	709	0	0	0	50	0	0	69	470	0	281	11	160	9	0	8	0	15	29	211	0	11	188	0	7	0	38	22	0	0	0	0	9	0	0	0	0	0	40	0	83	0	0	0	13	0	0	0	0	0	0	0	302	87	0	0	5	0	8	0	0	0	0	16	0	55	36	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ASV8	0	176	0	0	0	77	0	9	19	0	54	168	0	107	3	0	0	0	4	1790	5	0	0	0	0	54	0	725	26	440	0	38	1413	3	11	0	22	467	44	0	0	0	55	0	0	0	0	0	84	0	76	196	5	0	98	0	140	99	146	27	0	0	0	671	0	0	1331	0	19	0	0	0	80	6	0	0	0	0	0	0	13	0	0	253	0	0	6	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	66	0	0	0	0	0	0	0	0	14	0	17	0	26	0	260	0	0	0	7	437	19	35	0	0	297	0	0	0	174	0	0	1791	61	0	143	0	74	0	0	0	0	0	53	1193	0	0	42	0	0	0	0	94	4	0	0	0	0	13	0	7	0	20	23	0	24	20	16	0	0	0	0	0	0	25	282	0	0	0	0	0	0	11	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	0	0	0
ASV12	13	230	0	0	0	30	0	12	43	0	38	45	0	154	0	0	39	0	0	557	0	0	0	0	12	0	0	215	20	216	0	116	407	0	0	0	189	1316	460	21	8	0	258	0	0	0	0	55	456	34	144	99	0	12	159	4	53	121	60	0	0	0	24	318	14	180	254	10	0	0	0	0	77	44	79	0	0	0	0	0	0	0	0	0	0	7	0	28	0	0	0	0	53	0	40	361	5	38	0	0	0	10	16	55	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	375	107	0	0	37	534	243	0	0	204	0	0	391	28	0	118	0	203	34	74	39	0	0	31	388	12	0	169	27	0	0	9	0	0	8	13	0	13	0	0	0	0	0	0	5	0	0	0	7	0	6	0	0	3	30	411	13	172	0	0	0	0	10	0	0	14	0	0	133	0	27	19	20	0	0	0	0	0	16	46	0	0	0	0	0	7
