	EA05	EA08	EA07	EA04	EA18	EA26	EA12	EA34	EA13	EA25	EA20	EA21	EA22	EA27	EA33	EA15	EA80	FA59	FA61	EA70	EA84	FA77	EA69	FA50	EA82	EA74	FA46a	FA62	FA57	EA73	BE09	BE01	BE03	BE10	BE06	BE35	BE28	BE31	BE29	BE23	BE16	BE30	BE32	BE37	BE38	BE39	BE41	BE60	BE81	BE53	BE51	BE68	BE77	BE66	BE69	BE72	BE45b	BE54	BE79	BE76	BE83	BE56	BE48	BE63	BE58	BE71	TO05	TO03	TO07	TO04	TO06	TO17	TO31	TO24	TO25	TO20	CA11	CA09	CA05	CA08	CA03	CA07	CA02	CA10	CA06	CA18	CA19	CA35	CA17	CA26	CA28	CA31	CA12	CA43	CA29	CA34	CA13	CA23	CA24	CA25	CA14	CA16	CA20	CA21	CA30	CA32	CA22	CA42	CA37	CA27	CA36	CA38	CA39	CA33	CA41	CA15	CA80	CA60	CA81	CA59	CA49	CA68	CA84	CA86	CA77	CA65	CA66	CA69	CA85	CA52	CA72	CA50	CA45a	CA45b	CA54	CA82	CA67	CA83	CA46a	CA63	CA55	FA11	FA08	FA07	FA02	FA18	FA19	FA26	FA12	FA43	FA13	FA25	FA14	FA22	FA42	FA36	FA33	FA40	FA80	EA59	EA49	FA70	FA84	EA77	EA52	EA72	EA45a	FA82	FA78	FA74	EA46a	EA46b	EA62	EA55	EA47	FA73	MO09	MO05	MO03	MO10	MO04	MO06	MO35	MO17	MO29	MO34	MO23	MO14	MO16	MO42	MO40	MO73	MO71	NO11	NO09	NO01	NO03	NO10	NO42	NO37	NO27	NO36	NO38	NO39	NO33	NO40	NO41	NO15	NO80
ASV11	16	150	0	0	0	185	0	0	89	0	22	44	0	126	0	145	249	0	0	1131	0	13	0	0	0	0	0	322	21	175	0	26	579	0	0	0	38	371	108	31	12	11	96	0	0	0	0	34	193	0	241	192	0	0	49	0	37	17	25	18	0	0	0	118	0	91	367	0	0	0	29	0	139	0	676	10	0	26	0	0	0	0	0	308	0	9	0	71	0	0	0	0	6	0	10	113	0	89	35	0	0	26	34	38	12	0	6	0	0	65	34	0	0	597	119	0	75	0	229	0	0	0	158	647	269	68	0	179	364	0	206	159	156	0	35	101	211	0	264	0	78	0	0	0	0	0	69	726	0	24	125	0	0	0	20	180	6	16	35	0	19	0	0	21	102	28	30	0	38	5	0	0	0	0	0	18	0	0	60	0	36	97	0	0	5	48	0	0	36	0	0	59	0	0	0	0	0	0	0	0	10	52	38	20	0	0	0	0	0
ASV3	102	446	0	38	15	116	0	77	99	0	309	349	0	457	9	152	1424	7	0	1393	0	114	0	0	10	138	10	3142	112	609	0	2544	2190	0	0	0	594	2154	629	134	0	125	825	0	22	135	0	276	1604	73	966	944	5	141	2364	26	20	62	53	57	33	0	1476	21444	636	443	804	57	181	0	64	0	168	77	173	17	0	92	37	1137	124	0	112	63	0	0	0	138	0	305	0	15	81	137	187	2920	68	172	109	2581	56	182	26	205	0	52	0	0	17	476	43	8	43	378	643	0	364	40	84	376	50	0	345	2531	927	1142	91	1006	1110	699	559	238	2845	223	94	316	5012	40	1422	15	1076	297	206	100	0	145	267	1937	29	81	1804	102	65	4	74	281	0	115	69	0	3358	31	6	0	0	63	112	18	120	36	0	16	135	16	33	0	12	81	408	75	1618	1023	9	156	0	80	46	0	33	0	0	704	0	100	239	47	82	0	0	0	0	62	157	44	0	0	0	0	85
ASV66	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	4	642	10	0	18	0	0	0	0	0	85	546	0	11	39	0	0	0	0	15	0	0	0	0	56	0	0	0	0	16	203	156	760	1469	0	0	7	0	0	0	0	98	210	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13	0	0	130	0	0	0	94	0	0	0	0	0	0	0	0	34	77	0	0	0	0	0	100	0	0	0	0	0	0	0	12	0	0	11	0	0	0	0	0	0	0	0	12	2097	961	790	0	166	0	0	0	162	0	0	20	19	0	0	0	0	0	8	0	0	0	0	0	86	23	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	40	0	0	0	0	0	0	0	0	26	0	0	0	0	7	0	0	15	0	0	0	84	17	33	0	0	0	0	0	34	20	0	0	0	0	0	0	0	412	0	0	0	28	0	0
ASV18	17	68	0	0	0	23	0	3	0	0	27	15	0	9	0	14	179	0	0	142	0	5	0	0	0	32	0	191	0	122	0	271	260	0	0	0	44	434	85	0	0	14	122	0	0	3	3	54	580	0	80	132	0	11	292	0	31	30	4	0	0	0	214	2924	97	169	79	0	16	0	19	0	7	0	0	0	0	22	0	153	17	0	0	26	28	0	0	0	0	20	0	0	5	12	16	245	11	22	0	0	51	49	0	9	0	7	0	0	0	0	0	0	0	29	40	0	14	0	0	0	0	0	44	443	6	142	0	104	101	132	120	0	451	537	0	104	547	0	134	0	133	0	9	0	0	0	36	686	0	11	376	11	22	0	6	111	0	25	5	0	352	0	0	0	0	9	5	0	28	0	0	13	0	0	0	0	0	0	30	7	165	90	0	11	3	83	16	0	0	0	0	204	0	36	0	0	0	0	0	0	0	0	26	4	0	0	10	0	16
ASV36	79	38	129	0	0	0	0	0	0	0	2215	0	0	0	0	205	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100	0	0	977	0	0	0	0	0	1356	0	0	0	0	0	9487	0	0	0	0	0	217	0	0	124	0	399	0	0	0	0	0	0	0	0	1125	55	0	0	0	264	132	0	0	4246	0	2348	0	0	1863	0	260	0	0	843	1211	0	0	0	0	2097	0	460	3469	1099	736	106	0	0	0	0	0	1219	0	321	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	252	0	0	189	0	0	381	0	76	1703	0	0	0	131	320	0	0	0	0	0	1281	0	0	0	0	0	0	0	496	0	0	2326	0	1465	0	0	0	0	0	954	0	0	229	0	0	0	0	0	2237	0	0	0	0	0	0	0	130	0	0	6707	0	127	0	1010	0	0	0	0	0	76	0	0	0	0	0	330	0
ASV34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7377	0	3268	0	0	0	0	0	0	0	0	122	0	128	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	4454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3044	0	0	252	0	0	0	0	1824	0	0	0	0	0	0	0	0	0	0	9705	0	0	0	221	0	0	0	9454	0	0
ASV94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	51	0	0	127	0	64	0	0	0	0	0	0	0	0	53	0	0	0	33	0	0	45	0	14	56	0	0	0	0	0	0	0	27	0	0	26	0	0	0	75	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	27	0	57	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	126	0	27	17	916	106	0	0	0	0	0	0	0	0	0	0	0	35	121	0	61	0	21	60	0	0	40	0	3979	0	0	0	0	0	0	0	0	0	0	29	0	0	69	0	20	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	26	186	0	0	0	0	0	0	116	88	0	0	41	148	60	4286
ASV184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	0	0	0	0	0	0	0	0	0	0	0	0	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8318
ASV83	0	0	205	0	0	0	0	0	0	0	2443	0	1499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	854	0	0	325	43	0	0	0	0	0	0	2255	146	0	0	287	0	0	0	165	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	429	0	0	0	0	0	0	0	0	438	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	0	0	0	1460	0	0	0	0	0	0	0	7002	0	0	0	170	0	0	0	0	0	538	0	0	0	0	201	0	0	0	91	0	130	0	0	1638	438	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	84	148	0	0	0	0	0	0	0	0	0	547	0	1035	0	0	0	0	0	110	0	0	458	0	0	0	0	50	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	344
ASV111	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1625	0	0	169	0	0	0	0	0	0	0	2240	0	136	0	0	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	264	0	0	0	0	0	0	128	0	0	0	0	0	276	0	656	0	0	446	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	180	0	0	0	0	0	0	0	0	0	0	0	113	0	822	0	0	0	0	0	0	0	0	0	0	0	0	112	0	666	0	0	71	0	0	1498	0	625	0
ASV188	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0	0	0	0	0	0	1561	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	519	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4796	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1493	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV89	0	0	773	0	0	0	0	371	0	0	1252	0	1216	0	518	579	0	0	0	0	358	0	309	0	618	0	0	0	487	0	470	487	0	240	0	0	1113	0	1024	306	0	1130	0	364	0	0	0	0	0	0	712	0	243	608	0	261	644	0	1072	1971	0	872	0	0	1451	0	282	0	0	306	794	0	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	324	0	0	0	0	0	0	0	0
ASV1	3754	536	30842	951	114	142	26	15000	622	1453	51797	210	47365	5316	20625	25590	6295	7840	1127	1925	14481	867	11855	3647	26893	50	2397	744	20070	857	18691	19338	1597	9938	15	311	42957	3518	38973	12170	7641	46490	294	13533	2968	493	7358	3015	1017	3715	28703	1726	9839	25150	3826	10974	27980	3892	42966	77875	70	32937	8319	50	54248	11346	10919	18764	276	11993	30643	6209	50215	2101	270	3806	25217	3796	3844	826	101184	25424	9592	4469	1623	46335	19817	18334	10434	7145	4648	15473	8917	31028	37069	35336	8898	15004	53051	52132	63562	35049	26720	17542	15853	23996	16995	3503	22896	36947	1762	7334	70861	65703	28259	14444	55701	28445	3274	13	226	26	2698	10641	6803	6519	4004	6585	6087	3228	3957	459	9559	1243	34332	1324	3461	8709	6028	16587	10775	20627	450	9031	10738	14278	7781	110	24684	18905	251	33269	21061	18121	11193	4036	2872	21202	501	21699	12094	374	15126	10539	2545	16864	295	17913	2673	178	7546	12448	266	16301	13924	9	20363	32250	57	6654	13016	859	9473	42606	19825	13315	53	1752	27266	757	1308	56456	934	1328	1218	10504	349	16852	7842	48689	22875	5449	10819	12344	38294	54434	3849	24225	65874
