Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV5356	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4848	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4808	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9762	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV8939	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV3402	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV9278	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV7028	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV8828	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV7068	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV6652	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV5039	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV7519	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV8639	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV9068	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV7739	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV4211	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV6316	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	unclassified	unclassified	unclassified
ASV9008	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6062	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
ASV7861	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5613	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6241	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV8607	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3412	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4234	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9258	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7172	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV8657	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4551	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5303	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7998	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9236	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4979	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5991	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6864	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6372	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7050	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6870	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5462	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7056	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6822	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3655	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5199	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5889	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV8006	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9672	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV8208	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7033	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV8629	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9005	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4151	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6990	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6643	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9011	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9294	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4440	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6243	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6991	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3070	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4185	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3256	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5602	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7974	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7165	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3178	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4181	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3429	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6083	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3116	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6137	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV2851	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3915	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9828	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3283	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4527	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5640	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV2383	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9511	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
ASV9587	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV8163	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV7475	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV2634	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9391	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9751	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1494	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1778	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1061	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7153	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1436	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9053	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4478	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9282	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1750	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5079	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4825	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1540	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6998	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4135	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7408	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3075	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV913	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7200	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1699	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9211	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1610	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV1217	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV824	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4206	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV8703	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5835	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV4132	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6939	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV9810	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV574	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV5280	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV6954	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV3360	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV7663	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	unclassified	unclassified
ASV8849	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV8985	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV4720	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	unclassified
ASV9088	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV9716	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
ASV2250	Bacteria	Patescibacteria	unclassified	unclassified	unclassified	unclassified	unclassified
ASV7071	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	unclassified
ASV8477	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	unclassified	unclassified
ASV7321	Bacteria	Gemmatimonadota	S0134 terrestrial group	unclassified	unclassified	unclassified	unclassified
ASV2871	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV9623	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV9798	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV9124	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV1816	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV9390	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV2653	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV5353	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV8612	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV8433	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV8684	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV8719	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV7757	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV8192	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV6363	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV9699	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV9784	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV8962	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV2648	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	unclassified
ASV9080	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV9061	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV5223	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	unclassified
ASV9464	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	unclassified
ASV8902	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV2265	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV8438	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV5125	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV5828	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV6690	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV7163	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV7729	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV9598	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV8248	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
ASV8421	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	unclassified
